PREVIEW_FILE=factor_model_results_all.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\factor_model_results_all.csv
SIZE=235648

target,structure_type,model,factor,factor_effect_pct,absolute_effect_strength,interpretation
price_gbp_m2,Konut,ElasticNet,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,ElasticNet,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,ElasticNet,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,ElasticNet,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,ElasticNet,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,ElasticNet,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,ElasticNet,sales_channel,2.6334,2.6334,positive
price_gbp_m2,Konut,DecisionTree,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,DecisionTree,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,DecisionTree,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,DecisionTree,quality_score,34.5612,34.5612,positive
price_gbp_m2,Konut,DecisionTree,distance_to_center_km,-44.908,44.908,negative
price_gbp_m2,Konut,DecisionTree,parking_ratio,9.1959,9.1959,positive
price_gbp_m2,Konut,DecisionTree,green_area_ratio,1.7244,1.7244,positive
price_gbp_m2,Konut,DecisionTree,campaign_discount_pct,-17.336,17.336,negative
price_gbp_m2,Konut,DecisionTree,macro_rate_pct,2.4706,2.4706,positive
price_gbp_m2,Konut,DecisionTree,supply_index,-15.553,15.553,negative
price_gbp_m2,Konut,DecisionTree,demand_index,10.5931,10.5931,positive
price_gbp_m2,Konut,DecisionTree,sale_year,2.5434,2.5434,positive
price_gbp_m2,Konut,DecisionTree,sale_month,-7.579,7.579,negative
price_gbp_m2,Konut,DecisionTree,region,-10.3172,10.3172,negative
price_gbp_m2,Konut,DecisionTree,sales_channel,2.6334,2.6334,positive
price_gbp_m2,Konut,RandomForest,size_m2,-1.4356,1.4356,negative
price_gbp_m2,Konut,RandomForest,floor_count,1.717,1.717,positive
price_gbp_m2,Konut,RandomForest,age_at_sale_months,1.3164,1.3164,positive
price_gbp_m2,Konut,RandomForest,quality_score,34.5612,34.5612,positive
