PREVIEW_FILE=model_performance_all.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\model_performance_all.csv
SIZE=15659

target,structure_type,model,r2_or_auc,mae,rmse,gate_status,train_rows,test_rows
sale_duration_months,Ofis,HistGradientBoosting,0.0319,103.1025,139.3849,WARN,787,262
sale_duration_months,Ofis,KNN,0.0475,103.6154,148.7958,WARN,787,262
sale_duration_months,Ofis,SVR,0.0405,98.4467,149.6428,WARN,787,262
sale_duration_months,Ofis,BayesianRidge,0.0604,95.2243,134.4362,WARN,787,262
sold_within_12m,Ofis,LinearRegression,0.0454,97.3722,114.8476,WARN,787,262
sold_within_12m,Ofis,Ridge,0.0575,96.0229,111.4433,WARN,787,262
sold_within_12m,Ofis,Lasso,0.047,95.6263,140.7023,WARN,787,262
sold_within_12m,Ofis,ElasticNet,0.0588,100.6223,127.4585,WARN,787,262
sold_within_12m,Ofis,DecisionTree,0.0501,96.5136,139.1393,WARN,787,262
sold_within_12m,Ofis,RandomForest,0.037,96.319,131.3098,WARN,787,262
sold_within_12m,Ofis,ExtraTrees,0.0557,101.8123,145.6084,WARN,787,262
sold_within_12m,Ofis,GradientBoosting,0.0507,98.451,125.6906,WARN,787,262
sold_within_12m,Ofis,HistGradientBoosting,0.0558,98.4651,118.7959,WARN,787,262
sold_within_12m,Ofis,KNN,0.018,105.6891,148.8521,WARN,787,262
sold_within_12m,Ofis,SVR,0.0344,97.5291,117.1852,WARN,787,262
sold_within_12m,Ofis,BayesianRidge,0.0355,99.8461,133.6353,WARN,787,262
price_gbp_m2,Dukkan,LinearRegression,0.0755,94.6092,118.127,WARN,787,262
price_gbp_m2,Dukkan,Ridge,0.0806,100.076,134.1844,WARN,787,262
price_gbp_m2,Dukkan,Lasso,0.0847,97.014,145.7503,WARN,787,262
price_gbp_m2,Dukkan,ElasticNet,0.099,97.8982,122.6092,WARN,787,262
price_gbp_m2,Dukkan,DecisionTree,0.09,96.5923,120.8827,WARN,787,262
price_gbp_m2,Dukkan,RandomForest,0.1017,93.6558,123.2992,PASS,787,262
price_gbp_m2,Dukkan,ExtraTrees,0.1137,94.0455,128.233,PASS,787,262
