PREVIEW_FILE=selected_best_model_by_factor_type.csv
SOURCE=C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ml_150k_demo_v8_checkpointed\selected_best_model_by_factor_type.csv
SIZE=20526

target,structure_type,model,factor,factor_effect_pct,absolute_effect_strength,interpretation
price_gbp_m2,Ofis,RandomForest,quality_score,31.3193,31.3193,positive
price_gbp_m2,Ofis,RandomForest,distance_to_center_km,-45.5339,45.5339,negative
price_gbp_m2,Ofis,RandomForest,parking_ratio,7.7303,7.7303,positive
price_gbp_m2,Ofis,RandomForest,green_area_ratio,7.624,7.624,positive
price_gbp_m2,Ofis,RandomForest,campaign_discount_pct,-13.3933,13.3933,negative
price_gbp_m2,Ofis,RandomForest,macro_rate_pct,-2.8666,2.8666,negative
price_gbp_m2,Ofis,RandomForest,supply_index,-15.8829,15.8829,negative
price_gbp_m2,Ofis,RandomForest,demand_index,15.2664,15.2664,positive
price_gbp_m2,Ofis,RandomForest,sale_year,5.0603,5.0603,positive
price_gbp_m2,Ofis,RandomForest,sale_month,-3.2082,3.2082,negative
price_gbp_m2,Ofis,RandomForest,region,-5.8426,5.8426,negative
price_gbp_m2,Ofis,RandomForest,sales_channel,0.1013,0.1013,positive
sale_duration_months,Ofis,RandomForest,size_m2,0.1336,0.1336,positive
sale_duration_months,Ofis,RandomForest,floor_count,1.8291,1.8291,positive
sale_duration_months,Ofis,RandomForest,age_at_sale_months,28.075,28.075,positive
sale_duration_months,Ofis,RandomForest,quality_score,1.922,1.922,positive
sale_duration_months,Ofis,RandomForest,distance_to_center_km,2.0598,2.0598,positive
sale_duration_months,Ofis,RandomForest,parking_ratio,2.1327,2.1327,positive
sale_duration_months,Ofis,RandomForest,green_area_ratio,1.3527,1.3527,positive
sale_duration_months,Ofis,RandomForest,campaign_discount_pct,-2.7098,2.7098,negative
sale_duration_months,Ofis,RandomForest,macro_rate_pct,3.4659,3.4659,positive
sale_duration_months,Ofis,RandomForest,supply_index,0.5408,0.5408,positive
sale_duration_months,Ofis,RandomForest,demand_index,2.651,2.651,positive
sale_duration_months,Ofis,RandomForest,sale_year,14.2058,14.2058,positive
sale_duration_months,Ofis,RandomForest,sale_month,-4.3082,4.3082,negative
sale_duration_months,Ofis,RandomForest,region,-0.4224,0.4224,negative
sale_duration_months,Ofis,RandomForest,sales_channel,-3.2624,3.2624,negative
sold_within_12m,Ofis,ElasticNet,size_m2,5.4615,5.4615,positive
sold_within_12m,Ofis,ElasticNet,floor_count,-3.3189,3.3189,negative
sold_within_12m,Ofis,ElasticNet,age_at_sale_months,-23.6732,23.6732,negative
sold_within_12m,Ofis,ElasticNet,quality_score,-3.3999,3.3999,negative
