line	uprn	postcode	recognised	current	future	gis	voucher	lad	region	lot
268	200000070985	EC4A 1JQ	true	true	false	false	false	City of London	London	Greater London
269	95510060	EC4A 3BY	true	true	false	false	false	City of London	London	Greater London
270	95511906	EC4A 3EB	true	true	false	false	false	City of London	London	Greater London
271	95516259	EC4M 5SB	true	true	false	false	false	City of London	London	Greater London
272	95505478	EC4M 8AY	true	true	true	false	false	City of London	London	Greater London
273	95505753	EC4M 8BU	false	true	false	false	false	City of London	London	Greater London
274	95510031	EC4M 9BJ	true	true	false	false	false	City of London	London	Greater London
275	95500876	EC4M 9DN	true	true	false	false	false	City of London	London	Greater London
276	10091781337	EC4N 1TX	false	true	false	false	false	City of London	London	Greater London
277	95502580	EC4R 0AW	true	true	false	false	false	City of London	London	Greater London
278	95514692	EC4R 2SU	true	true	false	false	false	City of London	London	Greater London
279	200000069170	EC4V 3EJ	true	true	false	false	false	City of London	London	Greater London
280	200000070482	EC4V 3PN	true	true	false	false	false	City of London	London	Greater London
281	100020000294	EC4V 5EP	true	true	false	false	false	City of London	London	Greater London
293	100030493791	LE16 7RJ	true	true	false	false	true	Harborough	East Midlands	Leicestershire and Warwickshire
294	100030493177	LE16 7RQ	true	true	false	false	true	Harborough	East Midlands	Leicestershire and Warwickshire
295	100032048007	LE16 7SS	true	true	false	false	true	Harborough	East Midlands	Leicestershire and Warwickshire
296	200003739008	LE16 7ST	true	true	false	false	true	Harborough	East Midlands	Leicestershire and Warwickshire
297	100030422244	LE7 4YN	true	true	false	false	true	Charnwood	East Midlands	Leicestershire and Warwickshire
298	10094174235	LE7 4ZJ	false	true	false	false	true	Charnwood	East Midlands	Leicestershire and Warwickshire
299	200003739424	LE8 0PJ	false	true	false	false	true	Harborough	East Midlands	Leicestershire and Warwickshire
396	44023320	ME1 1YQ	true	true	false	false	false	Medway	South East	Kent
397	44024192	ME1 2DS	true	true	false	false	false	Medway	South East	Kent
398	44025054	ME1 2HW	true	true	false	false	false	Medway	South East	Kent
399	44025075	ME1 2HX	true	true	false	false	false	Medway	South East	Kent
400	44019664	ME1 2XB	true	true	false	false	false	Medway	South East	Kent
401	44011554	ME1 3AZ	true	true	false	false	false	Medway	South East	Kent
402	44010107	ME1 3EN	true	true	false	false	false	Medway	South East	Kent
403	44009913	ME1 3HD	true	true	false	false	false	Medway	South East	Kent
404	44034099	ME2 1FP	true	true	false	false	false	Medway	South East	Kent
405	44018505	ME2 2AD	true	true	true	false	false	Medway	South East	Kent
406	100061286788	ME2 2EH	true	true	false	false	false	Medway	South East	Kent
407	100061291539	ME2 2JS	true	true	false	false	false	Medway	South East	Kent
408	100061279709	ME2 2QN	true	true	false	false	false	Medway	South East	Kent
409	100061300942	ME2 2RB	true	true	false	false	false	Medway	South East	Kent
410	100061286201	ME2 2RF	true	true	false	false	false	Medway	South East	Kent
411	100062388554	ME2 2XJ	true	true	false	false	false	Medway	South East	Kent
426	44052571	ME4 3AY	true	true	false	false	false	Medway	South East	Kent
427	44081856	ME4 4AZ	true	true	false	false	false	Medway	South East	Kent
428	44041440	ME4 4XL	true	true	false	false	false	Medway	South East	Kent
