"program_parcel_id","lon","lat","point_count","source_file","geometry_field","parse_method"
"market_listing_parcel_edges_20260423","-1,2115691165603","52,4859565703005","20432","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_edges_20260423.geojson","json_or_geojson","json_geojson_numeric_centroid"
"market_listing_parcel_edges_20260422","-1,2115691165603","52,4859565703005","20432","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_edges_20260422.geojson","json_or_geojson","json_geojson_numeric_centroid"
"endpoint__map_sales-history_parcels","2","54","1","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_parcels.json","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step16_preleaflet_hook_working_panel_20260430_214948\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step15_real_map_capture_working_buttons_20260430_214334\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_england_unified","-0,939241025652445","51,9421800310145","794","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\air_quality_england_unified.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step18_visual_aq_overlay_and_working_buttons_20260430_220505\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step17_dom_panel_no_map_capture_dependency_20260430_215556\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step14_hard_fix_nonoverlap_clickable_panel_20260430_213327\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step18_visual_aq_overlay_and_working_buttons_20260430_221328\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"north-points","1,5","53","2","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\poi\north-points.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step29_deferred_gl_terrain_real_fix_20260501_001006\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step28_engine_agnostic_layers_retry_selftest_20260501_000330\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step25_safe_leaflet_capture_no_appjs_break_20260430_233935\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step19_toolbar_integrated_tile_based_aq_terrain_20260430_223554\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step24_real_leaflet_layers_selftested_20260430_233200\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step21_real_tile_overlay_terrain_aq_streetview_20260430_230247\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step20_google_like_terrain_aq_toolbar_integration_20260430_224844\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step13_final_nonoverlap_working_buttons_airdata_20260430_212830\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step27_leaflet_runtime_python_cdp_selftest_20260430_235608\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step26_early_leaflet_capture_cdp_selftest_20260430_234518\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"air_quality_laqn_latest","-0,113362508423829","51,4918591344741","256","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\.aays_backups\step11_working_panel_direct_events_data_collect_20260430_211514\data\air_quality_laqn_latest.geojson","json_or_geojson","json_geojson_numeric_centroid"
"historic_england_facilities","-0,11091","51,51686","10","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\facilities\drops\historic_england_facilities.geojson","json_or_geojson","json_geojson_numeric_centroid"
"os_ngd_facilities","-0,10424","51,5435333333333","15","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\facilities\drops\os_ngd_facilities.geojson","json_or_geojson","json_geojson_numeric_centroid"
"osm-demo-school-1","-0,489666666666667","51,7068","6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\facilities\drops\osm_facilities.geojson","json_or_geojson","json_geojson_numeric_centroid"
"os_land_use_features","-0,105892","51,548816","25","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\facilities\drops\os_land_use_features.geojson","json_or_geojson","json_geojson_numeric_centroid"
"naptan_facilities","-0,101026666666667","51,5484333333333","15","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\facilities\drops\naptan_facilities.geojson","json_or_geojson","json_geojson_numeric_centroid"
