"rank_score","path","name","extension","length","last_write_time","join_status"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\sales_parcel_join.json","sales_parcel_join.json",".json","637","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_ranking.json","parcel_ranking.json",".json","634","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:30:20","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\sales_parcel_join.json","sales_parcel_join.json",".json","637","5.05.2026 11:30:20","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_ranking.json","parcel_ranking.json",".json","634","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0357__map_sales_history_parcels_city_London_ready_true.txt","resp_0357__map_sales_history_parcels_city_London_ready_true.txt",".txt","132180","2.05.2026 16:50:41","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0356__map_sales_history_parcels_city_London_sale_ready_true.txt","resp_0356__map_sales_history_parcels_city_London_sale_ready_true.txt",".txt","132180","2.05.2026 16:50:40","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:36:43","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:36:46","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0426__parcels_city_London_status_sale_ready.txt","resp_0426__parcels_city_London_status_sale_ready.txt",".txt","1116835","2.05.2026 16:54:40","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\sales_parcel_join.json","sales_parcel_join.json",".json","637","5.05.2026 11:36:46","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:36:43","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:36:43","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:36:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:36:43","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0427__parcels_city_London_status_ready.txt","resp_0427__parcels_city_London_status_ready.txt",".txt","1116835","2.05.2026 16:54:42","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:23:52","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:23:53","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:23:53","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\sales_parcel_join.json","sales_parcel_join.json",".json","637","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_ranking.json","parcel_ranking.json",".json","634","5.05.2026 11:18:32","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:23:52","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:23:52","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0354__map_sales_history_parcels_city_London_status_sale_ready.txt","resp_0354__map_sales_history_parcels_city_London_status_sale_ready.txt",".txt","132180","2.05.2026 16:50:40","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:30:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0355__map_sales_history_parcels_city_London_status_ready.txt","resp_0355__map_sales_history_parcels_city_London_status_ready.txt",".txt","132180","2.05.2026 16:50:40","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_ranking.json","parcel_ranking.json",".json","634","5.05.2026 11:23:52","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:23:52","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_sales_history_parcels_city_London_sale_ready_true.txt","resp_map_sales_history_parcels_city_London_sale_ready_true.txt",".txt","4005","2.05.2026 17:44:10","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\sales_parcel_join.json","sales_parcel_join.json",".json","637","5.05.2026 11:23:53","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:12:44","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\052_super_mega_continue_safe_20260505_044248\jobs\parcel_key_plan.json","parcel_key_plan.json",".json","999","5.05.2026 04:44:18","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\multi_parcel.json","multi_parcel.json",".json","632","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_parcels_city_London_sale_ready_true.txt","resp_map_parcels_city_London_sale_ready_true.txt",".txt","4005","2.05.2026 17:23:23","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_parcels_location_London_status_sale_ready.txt","resp_parcels_location_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:23:05","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\052_super_mega_continue_safe_20260505_044248\jobs\geometry_boundary_plan.json","geometry_boundary_plan.json",".json","1013","5.05.2026 04:44:19","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\evidence_templates\parcel_security_evidence_template.json","parcel_security_evidence_template.json",".json","498","11.05.2026 00:41:42","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\evidence_templates\parcel_match_audit_template.csv","parcel_match_audit_template.csv",".csv","164","11.05.2026 00:41:42","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\parcel_candidate.json","parcel_candidate.json",".json","636","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\parcel_cards.json","parcel_cards.json",".json","632","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:02:06","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_sales_history_parcels_location_London_status_sale_ready.txt","resp_map_sales_history_parcels_location_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:44:10","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_parcels_city_London_sale_ready_true.txt","resp_parcels_city_London_sale_ready_true.txt",".txt","4005","2.05.2026 17:23:04","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_parcels_location_London_status_sale_ready.txt","resp_map_parcels_location_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:23:25","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_sales_history_parcels_city_London_status_sale_ready.txt","resp_map_sales_history_parcels_city_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:44:10","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_sales_history_parcels_city_London_status_sale_ready_limit_500.txt","resp_map_sales_history_parcels_city_London_status_sale_ready_limit_500.txt",".txt","4005","2.05.2026 17:44:11","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_sales_history_parcels_city_London_status_sale_ready_top_500.txt","resp_map_sales_history_parcels_city_London_status_sale_ready_top_500.txt",".txt","4005","2.05.2026 17:44:11","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_parcels_city_London_status_sale_ready_top_500.txt","resp_map_parcels_city_London_status_sale_ready_top_500.txt",".txt","4005","2.05.2026 17:23:31","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_parcels_city_London_status_sale_ready_limit_500.txt","resp_map_parcels_city_London_status_sale_ready_limit_500.txt",".txt","4005","2.05.2026 17:23:29","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_map_parcels_city_London_status_sale_ready.txt","resp_map_parcels_city_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:23:22","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_parcels_city_London_status_sale_ready.txt","resp_parcels_city_London_status_sale_ready.txt",".txt","4005","2.05.2026 17:23:04","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_parcels_city_London_status_sale_ready_limit_500.txt","resp_parcels_city_London_status_sale_ready_limit_500.txt",".txt","4005","2.05.2026 17:23:12","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_final_stabilize\final_20260502_172148\resp_parcels_city_London_status_sale_ready_top_500.txt","resp_parcels_city_London_status_sale_ready_top_500.txt",".txt","4005","2.05.2026 17:23:12","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_display_policy.json","parcel_display_policy.json",".json","641","5.05.2026 11:08:27","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_key.json","parcel_key.json",".json","630","5.05.2026 11:08:27","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0264__map_parcels_city_London_status_sale_ready.txt","resp_0264__map_parcels_city_London_status_sale_ready.txt",".txt","5858446","2.05.2026 16:49:36","candidate_only"
"6","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_ambiguity.json","parcel_ambiguity.json",".json","636","5.05.2026 11:08:27","candidate_only"
