"verification_id","listing_id","listing_url","listing_url_canonical","ask_price","price_per_m2","normalized_area_m2","postcode_standardized","local_authority_standardized","geometry_verdict","geometry_evidence_type","geometry_uncertainty_m","field_confidence_json","side_lengths_m_json","perimeter_m","source_urls_json","decision_reason","verified_polygon_geojson","source_polygon_original_site_status","risk_label","acceptance_status","policy_reason"
"L4-00013-OTM-10968251","OTM-10968251","https://www.onthemarket.com/details/10968251/","https://www.onthemarket.com/details/10968251/","18000.0","45.245457","397.83","BR2","Bromley","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10968251/"",""https://www.onthemarket.com/agents/"",""https://www.onthemarket.com/agents/contact/10968251/?form-name=details-contact"",""https://www.onthemarket.com/agents/branch/99home-wembley/"",""https://www.onthemarket.com/agents/branch/99home-wembley/properties/?search-type=for-sale&under-offer=true"",""https://www.onthemarket.com/assets/images/icons/map/map-pill.png/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;area_above_25000;ppm_above_5000"
"L4-00014-OTM-10973719","OTM-10973719","https://www.onthemarket.com/details/10973719/","https://www.onthemarket.com/details/10973719/","200000.0","33.933965","5893.8","A47","Fenland","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/10973719/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00015-OTM-11110712","OTM-11110712","https://www.onthemarket.com/details/11110712/","https://www.onthemarket.com/details/11110712/","105000.0","141.239138","743.42","NE71 6AR","Northumberland","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11110712/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00016-OTM-11228776","OTM-11228776","https://www.onthemarket.com/details/11228776/","https://www.onthemarket.com/details/11228776/","120000.0","74.654722","1607.4","PE21","Boston","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11228776/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;ppm_above_5000"
"L4-00017-OTM-11301465","OTM-11301465","https://www.onthemarket.com/details/11301465/","https://www.onthemarket.com/details/11301465/","180000.0","2.986188","60277.51","EX22 6EQ","Torridge","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11301465/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00018-OTM-11384326","OTM-11384326","https://www.onthemarket.com/details/11384326/","https://www.onthemarket.com/details/11384326/","775000.0","96.429016","8037.0","GL53","Tewkesbury","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11384326/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00019-OTM-11488586","OTM-11488586","https://www.onthemarket.com/details/11488586/","https://www.onthemarket.com/details/11488586/","695000.0","1.364821","509224.42","PL5","Plymouth","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11488586/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00020-OTM-11536660","OTM-11536660","https://www.onthemarket.com/details/11536660/","https://www.onthemarket.com/details/11536660/","180000.0","179.170441","1004.63","A30","West Devon","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11536660/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00021-OTM-11567771","OTM-11567771","https://www.onthemarket.com/details/11567771/","https://www.onthemarket.com/details/11567771/","110000.0","19.354918","5683.31","TR15","Cornwall","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11567771/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00022-OTM-11653690","OTM-11653690","https://www.onthemarket.com/details/11653690/","https://www.onthemarket.com/details/11653690/","180000.0","17.319666","10392.81","BN24","Wealden","derived_signal","signal_based_non_rectangular_candidate","24.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_signal."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/11653690/""]","Non-rectangular candidate from listing signals; fail-closed keeps it unverified.","","unknown_not_verified","critical","manual_review","no_verified_polygon;signal_candidate;area_above_25000;ppm_above_5000"
"L4-00091-OTM-13125000","OTM-13125000","https://www.onthemarket.com/details/13125000/","https://www.onthemarket.com/details/13125000/","29950000.0","27.389042","1093503.0","W1J","Westminster","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/13125000/"",""https://idoxpa.westminster.gov.uk/online-applications/search.do/?action=simple&searchType=Application"",""https://www.onthemarket.com/agents/"",""https://www.onthemarket.com/assets/images/floorplanbg.png/"",""https://www.onthemarket.com/assets/images/icons/map/map-pill.png/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00102-OTM-13262366","OTM-13262366","https://www.onthemarket.com/details/13262366/","https://www.onthemarket.com/details/13262366/","1800000.0","407.738884","4414.59","M4","Hounslow","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/13262366/"",""https://www.onthemarket.com/agents/"",""https://www.onthemarket.com/agents/contact/13262366/?form-name=details-contact"",""https://media.onthemarket.com/properties/13262366/1535050989/document-0.pdf/"",""https://www.onthemarket.com/assets/images/icons/map/map-pill.png/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
"L4-00113-OTM-13405675","OTM-13405675","https://www.onthemarket.com/details/13405675/","https://www.onthemarket.com/details/13405675/","5000.0","50.352467","99.3","TN16","Bromley","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/13405675/"",""https://www.onthemarket.com/agents/"",""https://media.onthemarket.com/agents/companies/10932/230420134500876/logo-190x100.png/"",""https://www.onthemarket.com/assets/images/icons/map/map-pill.png/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;ppm_above_5000"
"L4-00116-OTM-13486283","OTM-13486283","https://www.onthemarket.com/details/13486283/","https://www.onthemarket.com/details/13486283/","3500000.0","2768.089465","1264.41","EN4","Enfield","derived_ai_visual","visual_hint_assisted_candidate","28.0","{""area_m2"":{""reason"":""Area m2 value available."",""status"":""high""},""ask_price"":{""reason"":""Numeric ask price parsed."",""status"":""high""},""listing_url"":{""reason"":""Canonical HTTPS listing URL available."",""status"":""high""},""location"":{""reason"":""Postcode present."",""status"":""high""},""parcel_geometry"":{""reason"":""Geometry verdict is derived_ai_visual."",""status"":""medium""},""price_per_m2"":{""reason"":""Computed from ask_price and area_m2."",""status"":""high""},""sale_year"":{""reason"":""Sale year not available in current open listing feed fields."",""status"":""no_data""},""sales_region"":{""reason"":""Local authority present."",""status"":""high""}}","","","[""https://www.onthemarket.com/details/13486283/"",""https://planningandbuildingcontrol.enfield.gov.uk/online-applications/search.do/?action=simple&searchType=Application"",""https://www.onthemarket.com/agents/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-4-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-6-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-7-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-8-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-9-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-10-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-11-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-12-1024x1024.jpg/"",""https://media.onthemarket.com/properties/13486283/1601656813/image-13-1024x1024.jpg/""]","Visual/photo hints exist, but not georeferenced. Candidate remains derived only.","","unknown_not_verified","critical","manual_review","no_verified_polygon;ai_visual_candidate;area_above_25000;price_above_3000000;ppm_above_5000"
