"path","bytes","score","reason"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate016_agent_verified_final_candidate.csv","17223824","8","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate020_group_seed_search_hits.csv","62440","5","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate020_real_final_input_discovery.report.md","395","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate020_reviewed_agent_source_hits.csv","12757","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate_agent_evidence_sources_final.csv","10122","5","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate_agent_verified_final.csv","12472","7","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate_agent_verified_final_TEMPLATE_014.csv","202","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate_final_excel_required_columns_012.csv","722","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\ty139-commit-app-api-patch.report.md","2074","4","filtered_real_source_candidate"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\docs\chatgpt_status\OPEN_DASHBOARD_LINKS.md","858","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.estate_agent_patch_tmp_20260524_050920\final_files\estate_agent_evidence_sources_final.csv","10369","5","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.estate_agent_patch_tmp_20260524_050920\final_files\estate_agent_verified_final.csv","12527","7","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\aays_chatgpt_ultra_scope_low_codex_20260515\inputs\FINAL_DB_READINESS_AND_CANONICAL_REGISTRY_REPORT_20260515.md","4629","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\db_readiness_probe_20260515\FINAL_DB_READINESS_AND_CANONICAL_REGISTRY_REPORT_20260515.md","4629","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_location_evidence_wave_20260516\007_COPY_SNAPSHOT_PATCH_BOTH_REPOS_PUBLISH_LOG.txt","6564","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays_step43_sales_evidence_panel.html","3508","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\integration-reports\aays-109b-branch-integration-build-test-timeout-20260515-2215.md","222","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\integration-reports\aays-109b-branch-integration-build-test-timeout-20260515-2215.md","222","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\integration-reports\aays-109b-branch-integration-build-test-timeout-20260515-2215.md","222","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_scores.geojson","3773512","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\voa_2026_true_london_commercial_geocoded_with_air_quality.csv","7310316","4","filtered_real_source_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\integration-reports\aays-109b-branch-integration-build-test-timeout-20260515-2215.md","222","4","filtered_real_source_candidate"
