"path","extension","length","has_group_column","has_bbox_column","has_parcel_or_geometry","sample"
"E:\AAYS_DATA\estate_agents\estate_agent_coverage_groups_final_TEMPLATE_014.csv",".csv","110","True","False","False","agent_id,candidate_id,parcel_group_id,coverage_method,coverage_truth_score_4,source_url,source_file,notes"
"E:\AAYS_DATA\estate_agents\estate_agent_coverage_groups_template_012.csv",".csv","110","True","False","False","agent_id,candidate_id,parcel_group_id,coverage_method,coverage_truth_score_4,source_file,source_url,notes"
"E:\AAYS_DATA\estate_agents\estate_agent_import_manifest_006.json",".json","579","True","False","False","{
    ""next_step"":  ""Codex should implement app dry-run import and lookup using these schemas, then request verified source data."",
    ""db_write"":  false,
    ""parcel_group_rows"":  0,
    ""dryrun_csv"":  ""E:\\AAYS_DATA\\estate_agents\\estate_agen"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_export_dryrun_006.csv",".csv","301","True","False","True","agent_id,agent_or_branch_name,company_name,phone,email,office_address,website_url,source_url,evidence_summary,previous_work_summary,postcode,local_authority,latitude,longitude,coverage_parcel_group_ids,trust_score_10,overall_data_truth_score_4,progra"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_export_parallel_template_006.csv",".csv","301","True","False","True","agent_id,agent_or_branch_name,company_name,phone,email,office_address,website_url,source_url,evidence_summary,previous_work_summary,postcode,local_authority,latitude,longitude,coverage_parcel_group_ids,trust_score_10,overall_data_truth_score_4,progra"
"E:\AAYS_DATA\estate_agents\terrayield_parcel_group_join_final_TEMPLATE_014.csv",".csv","101","True","False","True","program_parcel_id,parcel_group_id,match_method,match_confidence,source_file,geometry_field,notes"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions.json",".json","623","False","True","False","{
  ""Bedfordshire"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\regions\\bedfordshire\\parcels_prepared.parquet"","
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_britain_generated_v1.json",".json","13042","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/v2/london/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_p"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_britain_generated_v2.json",".json","13502","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/v2/london/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_p"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_england_generated.json",".json","8812","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/london/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_prep"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_england_generated_v2.json",".json","12495","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/v2/london/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_p"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_full_england.json",".json","3303","False","True","True","{
  ""South"": {
    ""ons_regions"": [""London"", ""South East""],
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\regions\\south\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\re"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_full_scotland.json",".json","680","False","True","False","{
  ""Scotland"": {
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\scotland\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_j"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_full_wales.json",".json","757","False","True","False","{
  ""Wales"": {
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\wales\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\w"
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_scotland_generated_v1.json",".json","463","False","True","False","{
  ""Scotland"": {
    ""prepared_path"": null,
    ""prepared_simplified_path"": null,
    ""source_gpkg_path"": null,
    ""pmtiles_local_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\scotland\\tiles\\parcels.pmtiles"","
"C:\Users\cagda\Documents\GitHub\AAYS\pmtiles_regions_wales_generated_v1.json",".json","550","False","True","False","{
  ""Wales"": {
    ""prepared_path"": null,
    ""prepared_simplified_path"": null,
    ""source_gpkg_path"": null,
    ""pmtiles_local_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\wales\\tiles\\parcels.pmtiles"",
    "
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\SPECIFIC_PARCEL_477_SOURCE_FIELDS_RAW.json",".json","515","False","True","True","{""parcel_id"" : 477, ""inspire_id"" : ""england:east-devon-district-council:17103798"", ""parcel_ref"" : ""17103798"", ""local_authority"" : ""East Devon"", ""source_month"" : ""2026-04-30"", ""postcode"" : null, ""address_text"" : null, ""source_name"" : null, ""source_rec"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\.venv\Lib\site-packages\pyogrio\gdal_data\gt_datum.csv",".csv","15804","False","True","False","CODE,NAME,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\.venv_wsl\lib\python3.12\site-packages\pyogrio\gdal_data\gt_datum.csv",".csv","15804","False","True","False","CODE,NAME,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\east.json",".json","2229","False","True","False","{
  ""region"": ""East of England"",
  ""path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\east\\parcels_prepared.parquet"",
  ""count"": 50000,
  ""invalid_geometries"": 1,
  ""empty_geometries"": 0,
  ""triangle_like_geometrie"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\north.json",".json","2227","False","True","False","{
  ""region"": ""North"",
  ""path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\north\\parcels_prepared.parquet"",
  ""count"": 50000,
  ""invalid_geometries"": 0,
  ""empty_geometries"": 0,
  ""triangle_like_geometries"": 79,
"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\south_east.json",".json","2238","False","True","False","{
  ""region"": ""South East"",
  ""path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_east\\parcels_prepared.parquet"",
  ""count"": 50000,
  ""invalid_geometries"": 2,
  ""empty_geometries"": 0,
  ""triangle_like_geometri"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\south_west.json",".json","2229","False","True","False","{
  ""region"": ""South West"",
  ""path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_west\\parcels_prepared.parquet"",
  ""count"": 50000,
  ""invalid_geometries"": 0,
  ""empty_geometries"": 0,
  ""triangle_like_geometri"
"C:\Users\cagda\Documents\GitHub\AAYS\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\pipeline\reports\region_geometry_v2\_progress.json",".json","124","False","True","False","{
  ""percent"": 0,
  ""message"": ""South East: v2 rebuild baÅŸlÄ±yor"",
  ""updated_at"": ""2026-03-23T14:33:08.708246+00:00""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\britain_parcel_coverage_index.json",".json","177195","False","True","True","{
  ""generated_at"": ""2026-03-28T14:17:42.741051+00:00"",
  ""scope"": ""Great Britain"",
  ""live_map_name"": ""Great Britain Parcel Map"",
  ""live_regions"": [
    {
      ""slug"": ""london"",
      ""label"": ""London""
    },
    {
      ""slug"": ""south_e"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_assignments_england.json",".json","85091","False","True","True","{
  ""meta"": {
    ""partition"": ""england_macro_v2"",
    ""description"": ""South, South West, East, Midlands, North (London merged into South)"",
    ""source_manifest"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\manifest_england.json"","
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\scotland_city_aliases.json",".json","1623","False","True","True","[
  {
    ""city"": ""Edinburgh"",
    ""status"": ""needs_alias_qa"",
    ""source_authorities"": [
      ""Midlothian"",
      ""East Lothian"",
      ""West Lothian""
    ],
    ""confidence"": ""medium"",
    ""note"": ""Scotland source manifest does not expo"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\progress_v2_global.json",".json","122","False","True","False","{
  ""percent"": 100,
  ""message"": ""North: v2 rebuild tamamlandÄ±"",
  ""updated_at"": ""2026-03-24T07:57:52.162338+00:00""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\authorities.json",".json","1827","False","True","False","[
  ""Babergh District Council"",
  ""Basildon Borough Council"",
  ""Bedford Borough Council"",
  ""Borough Council of Kings Lynn and West Norfolk"",
  ""Boston Borough Council"",
  ""Bracknell Forest Council"",
  ""Braintree District Council"",
  ""Breckl"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\generated.json",".json","1864","False","True","False","{
  ""East of England"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/east/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\east\\parcels"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\manifest.json",".json","24189","False","True","False","{
  ""source_page"": ""https://use-land-property-data.service.gov.uk/datasets/inspire/download"",
  ""scope"": ""england"",
  ""count"": 54,
  ""records"": [
    {
      ""authority"": ""Babergh District Council"",
      ""zip_url"": ""https://use-land-property-"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\progress.json",".json","201","False","True","False","{
  ""percent"": 100,
  ""message"": ""East of England: fourth region completed, HF upload finished, local heavy files cleaned"",
  ""updated_at"": ""2026-03-20T20:08:09.448561+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\progress_pmtiles.json",".json","190","False","True","False","{
  ""percent"": 100,
  ""message"": ""East of England: PMTiles hazÄ±r, HF yÃ¼klendi, yerel aÄŸÄ±r dosyalar silindi"",
  ""updated_at"": ""2026-03-21T19:16:23.701064+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\progress_v2.json",".json","145","False","True","False","{
    ""message"":  ""East of England: v2 config\u0027e alındı"",
    ""percent"":  100,
    ""updated_at"":  ""2026-03-23T23:37:43.2767897Z""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\east\region.json",".json","883","False","True","False","{
  ""East of England"": {
    ""pmtiles_hf_url"": ""REPLACE_WITH_EAST_PMTILES_URL"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\east\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Use"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\london\authorities.json",".json","1475","False","True","True","[
  ""Brentwood Borough Council"",
  ""City of London Corporation"",
  ""City of Westminster"",
  ""Dartford Borough Council"",
  ""Elmbridge Borough Council"",
  ""Epping Forest District Council"",
  ""Epsom and Ewell Borough Council"",
  ""Hertsmere Borou"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\london\generated.json",".json","1881","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/london/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_prep"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\london\region.json",".json","1183","False","True","True","{
  ""London"": {
    ""pmtiles_hf_url"": ""REPLACE_WITH_LONDON_PMTILES_URL"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\london\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\c"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\midlands\authorities.json",".json","3013","False","True","False","[
  ""Amber Valley Borough Council"",
  ""Ashfield District Council"",
  ""Barnsley Metropolitan Borough Council"",
  ""Bassetlaw District Council"",
  ""Birmingham City Council"",
  ""Blaby District Council"",
  ""Bolsover District Council"",
  ""Bolton Me"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\midlands\generated.json",".json","1897","False","True","False","{
  ""Midlands"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/midlands/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\midlands\\parcel"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\midlands\region.json",".json","936","False","True","False","{
  ""Midlands"": {
    ""pmtiles_hf_url"": """",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\midlands\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AA"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\authorities.json",".json","1278","False","True","False","[
  ""Blackburn with Darwen Borough Council"",
  ""Blackpool Borough Council"",
  ""Burnley Borough Council"",
  ""Calderdale Metropolitan Borough Council"",
  ""Chorley Borough Council"",
  ""City of Bradford Metropolitan District Council"",
  ""City of Y"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\generated.json",".json","1864","False","True","False","{
  ""North"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/north/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\north\\parcels_prepare"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\manifest.json",".json","17082","False","True","False","{
  ""source_page"": ""https://use-land-property-data.service.gov.uk/datasets/inspire/download"",
  ""scope"": ""england"",
  ""count"": 38,
  ""records"": [
    {
      ""authority"": ""Blackburn with Darwen Borough Council"",
      ""zip_url"": ""https://use-l"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\progress.json",".json","190","False","True","False","{
  ""percent"": 100,
  ""message"": ""North: first region completed, HF upload finished, local heavy files cleaned"",
  ""updated_at"": ""2026-03-20T16:47:24.466329+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\progress_pmtiles.json",".json","180","False","True","False","{
  ""percent"": 100,
  ""message"": ""North: PMTiles hazÄ±r, HF yÃ¼klendi, yerel aÄŸÄ±r dosyalar silindi"",
  ""updated_at"": ""2026-03-21T22:30:04.236254+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\progress_v2.json",".json","120","False","True","False","{
  ""percent"": 100,
  ""message"": ""North: v2 config'e alÄ±ndÄ±"",
  ""updated_at"": ""2026-03-24T07:57:51.941702+00:00""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\north\region.json",".json","880","False","True","False","{
  ""North"": {
    ""pmtiles_hf_url"": ""REPLACE_WITH_NORTH_PMTILES_URL"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\north\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\Users\\cagd"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south\authorities.json",".json","3229","False","True","True","[
  ""Adur District Council"",
  ""Arun District Council"",
  ""Ashford Borough Council"",
  ""Basingstoke and Deane Borough Council"",
  ""Bracknell Forest Council"",
  ""Brighton and Hove City Council"",
  ""Buckinghamshire Council"",
  ""Canterbury City "
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south\manifest.json",".json","43192","False","True","False","{
  ""source_page"": ""https://use-land-property-data.service.gov.uk/datasets/inspire/download"",
  ""scope"": ""england"",
  ""count"": 97,
  ""records"": [
    {
      ""authority"": ""Adur District Council"",
      ""zip_url"": ""https://use-land-property-dat"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south\progress.json",".json","722","False","True","False","{
  ""percent"": 52,
  ""message"": ""South: PMTiles akÄ±ÅŸÄ± durdu - Command '['python', 'C:\\\\Users\\\\cagda\\\\Documents\\\\GitHub\\\\AAYS\\\\AAYS_MVP_Streamlit_Studio_v3_ScenarioEngine_ConfigWizard\\\\pipeline\\\\upload_region_assets.py', '--config"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south\region.json",".json","813","False","True","True","{
  ""South"": {
    ""ons_regions"": [
      ""London"",
      ""South East""
    ],
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": ""C:\\U"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\authorities.json",".json","1843","False","True","False","[
  ""Adur District Council"",
  ""Arun District Council"",
  ""Ashford Borough Council"",
  ""Basingstoke and Deane Borough Council"",
  ""Brighton and Hove City Council"",
  ""Buckinghamshire Council"",
  ""Canterbury City Council"",
  ""Cherwell District"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\generated.json",".json","1917","False","True","False","{
  ""South East"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/south_east/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_east\\"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\manifest.json",".json","25211","False","True","False","{
  ""source_page"": ""https://use-land-property-data.service.gov.uk/datasets/inspire/download"",
  ""scope"": ""england"",
  ""count"": 56,
  ""records"": [
    {
      ""authority"": ""Adur District Council"",
      ""zip_url"": ""https://use-land-property-dat"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\progress.json",".json","195","False","True","False","{
  ""percent"": 100,
  ""message"": ""South East: third region completed, HF upload finished, local heavy files cleaned"",
  ""updated_at"": ""2026-03-20T19:24:57.805152+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\progress_pmtiles.json",".json","185","False","True","False","{
  ""percent"": 100,
  ""message"": ""South East: PMTiles hazÄ±r, HF yÃ¼klendi, yerel aÄŸÄ±r dosyalar silindi"",
  ""updated_at"": ""2026-03-21T18:52:00.580299+00:00"",
  ""stalled"": false
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\progress_v2.json",".json","127","False","True","False","{
  ""percent"": 100,
  ""message"": ""South East: v2 rebuild tamamlandÄ±"",
  ""updated_at"": ""2026-03-23T20:59:01.373724+00:00""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_east\region.json",".json","913","False","True","False","{
  ""South East"": {
    ""pmtiles_hf_url"": ""REPLACE_WITH_SOUTH_EAST_PMTILES_URL"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_east\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": """
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_west\authorities.json",".json","626","False","True","False","[
  ""Bath and North East Somerset Council"",
  ""Bournemouth Christchurch and Poole Council"",
  ""Bristol City Council"",
  ""Cornwall Council"",
  ""Council of the Isles of Scilly"",
  ""Dorset Council"",
  ""East Devon District Council"",
  ""Exeter Cit"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_west\generated.json",".json","1920","False","True","False","{
  ""South West"": {
    ""pmtiles_hf_url"": ""https://huggingface.co/datasets/terrayield-tiles/Terra_1/resolve/main/south_west/parcels.pmtiles"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_west\\"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_west\manifest.json",".json","8984","False","True","False","{
  ""source_page"": ""https://use-land-property-data.service.gov.uk/datasets/inspire/download"",
  ""scope"": ""england"",
  ""count"": 20,
  ""records"": [
    {
      ""authority"": ""Bath and North East Somerset Council"",
      ""zip_url"": ""https://use-la"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_west\progress_v2.json",".json","127","False","True","False","{
  ""percent"": 100,
  ""message"": ""South West: v2 rebuild tamamlandÄ±"",
  ""updated_at"": ""2026-03-23T22:00:32.230364+00:00""
}
"
"C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\region_jobs\south_west\region.json",".json","916","False","True","False","{
  ""South West"": {
    ""pmtiles_hf_url"": ""REPLACE_WITH_SOUTH_WEST_PMTILES_URL"",
    ""prepared_path"": ""C:\\Users\\cagda\\Documents\\GitHub\\AAYS\\data\\inspire\\region_jobs\\south_west\\parcels_prepared.parquet"",
    ""prepared_simplified_path"": """
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\air_quality_england_unified.geojson",".geojson","225988","False","True","True","{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-0.1278, 51.5074]}, ""properties"": {""siteName"": ""London"", ""siteCode"": ""STEP33_LONDON"", ""aqIndex"": 6, ""source"": ""Step33 England coverage proxy"""
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\air_quality_management_area.geojson",".geojson","5047848","False","True","True","{""type"": ""FeatureCollection"", ""name"": ""air-quality-management-area"", ""features"": [{""type"": ""Feature"", ""properties"": {""dataset"": ""air-quality-management-area"", ""end-date"": """", ""entity"": ""35000"", ""entry-date"": ""2026-04-15"", ""name"": ""M25 AQMA"", ""organis"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\air_quality_management_area_england.geojson",".geojson","5047654","False","True","True","{""type"": ""FeatureCollection"", ""name"": ""air-quality-management-area"", ""features"": [{""type"": ""Feature"", ""properties"": {""dataset"": ""air-quality-management-area"", ""end-date"": """", ""entity"": ""35000"", ""entry-date"": ""2026-04-15"", ""name"": ""M25 AQMA"", ""organis"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.points.geojson",".geojson","4119595","False","True","True","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-1.456215824035787,52.97191906420846]},""properties"":{""listing_id"":""OTM-16748769"",""provider_listing_id"":""16748769"",""confidence_tier"":""A?"",""confidence_s"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\FINAL_3110_CURRENT_CONFIDENCE.polygons.geojson",".geojson","5130023","False","True","True","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-1.4563104163220837,52.971799577876126],[-1.4560975836779164,52.971799577876126],[-1.4560090983112022,52.97186060552036],[-1.4560090983112022,52.9"
