"score","path","extension","length","parcel_col","group_col","lat_col","lon_col","geom_col","can_direct_join","can_bbox_join","can_geometry_review"
"8","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate019_agent_parcel_join_resolution.csv",".csv","594","","parcel_group_id","","","","no","no","no"
"8","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_group_contact_low_credit_20260524\PARCEL_GROUP_CONTRACTOR_TEMPLATE.csv",".csv","320","","parcel_group_id","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\contractor_50step\CT50_08_PARCEL_MATCH_TEMPLATE.csv",".csv","168","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\tmp\contractor_50step_chatgpt_handoff_20260511_160416\terrayield_land_intelligence\docs\chatgpt_handoff\contractor_50step\CT50_08_PARCEL_MATCH_TEMPLATE.csv",".csv","168","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\db_transfer\parcel_use6_import_example.csv",".csv","4285","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_033034\db_transfer\parcel_use6_import_example.csv",".csv","4285","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_032548\db_transfer\parcel_use6_import_example.csv",".csv","4293","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\future_growth_50step\templates\FG50_11_PARCEL_EVIDENCE_EXPORT_TEMPLATE.csv",".csv","521","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\sales_history_reliability_50step\templates\parcel_history_template.csv",".csv","333","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_033121\db_transfer\parcel_use6_import_example.csv",".csv","4285","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\sales_history_reliability_50step\SH50_07_PARCEL_HISTORY_TEMPLATE.csv",".csv","333","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\contact_contractor_50step\CC50_08_PARCEL_STRUCTURE_CONTACT_TEMPLATE.csv",".csv","268","parcel_id","","","","","no","no","no"
"7","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\historical_sales_parcel_matched\transactions_price_paid_parcel_matched_34.csv",".csv","7950","parcel_id","","","","","no","no","no"
"5","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_033121\templates\parcel_use6_demo_rows_template.csv",".csv","249","","","lat","lon","","no","no","no"
"5","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_033034\templates\parcel_use6_demo_rows_template.csv",".csv","249","","","lat","lon","","no","no","no"
"5","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\templates\parcel_use6_demo_rows_template.csv",".csv","249","","","lat","lon","","no","no","no"
"5","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\voa_2026_true_london_commercial_geocoded_with_air_quality.csv",".csv","7310316","","","lat","lon","","no","no","no"
"5","C:\Users\cagda\Documents\GitHub\AAYS\tmp\parcel_use6_handoff_test\parcel_use6_london_postgres_50step_handoff_20260513_032548\templates\parcel_use6_demo_rows_template.csv",".csv","249","","","lat","lon","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113634\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_112352\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_113018\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110205\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110213\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111831\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_110827\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\geometry_boundary.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_111243\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_safe_sales\parcel_key_plan_052.json",".json","806","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_safe_sales\risk_register_052.json",".json","804","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_safe_sales\geo_file_inventory_052.json",".json","809","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_parcels.json",".json","132180","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_safe_sales\geometry_boundary_plan_052.json",".json","813","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\scan_terrayield_land_postgis.csv",".csv","33138","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_land_sales_fill_summary_20260423.json",".json","1007","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_super_wide\super_20260502_163947\scan_terrayield_land_postgis_terrayield_land.csv",".csv","19116","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_safe_sales\source_registry_plan_052.json",".json","811","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\uk_planning_restrictions_handoff\templates\parcel_restriction_assessment.template.json",".json","1136","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\source_registry.json",".json","635","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_candidate.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_cards.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_ambiguity.json",".json","636","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\geometry_intersection.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\multi_parcel.json",".json","632","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\risk_register.json",".json","633","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\sales_parcel_join.json",".json","637","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_ranking.json",".json","634","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_display_policy.json",".json","641","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_140859\topics\parcel_key.json",".json","630","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\sample_data\hmlr_inspire_parcels.json",".json","1931","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\sample_data\homes_england_landhub.json",".json","1295","","","","","","no","no","no"
"4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\templates\parcel_use6_points_template.geojson",".geojson","126","","","","","","no","no","no"
