"file","line","scenario_version","building_type","spec_grade","region","base_rate_gbp_per_gia_m2","source_url"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_land_sales_full_20260423.csv","54","cost_uk_v1","","","UK","","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_land_sales_full_filled_20260423.csv","54","cost_uk_v1","","","UK","","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_enriched_20260422.csv","54","cost_uk_v1","","","UK","","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_parcel_enriched_20260423.csv","54","cost_uk_v1","","","UK","","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\exports\market_listing_parcel_package\market_listing_polygon_provenance_20260423.csv","54","cost_uk_v1","","","UK","","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_archive_union_market_input.csv","108","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_archive_union_market_input.csv","109","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_archive_union_market_input.csv","112","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input.csv","92","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input.csv","93","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input.csv","96","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_master_market_input.csv","97","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_batch.csv","75","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_batch.csv","106","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_batch.csv","112","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_matched_only.csv","54","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_remaining.csv","38","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_remaining.csv","69","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_round2_remaining.csv","23","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_round2_remaining.csv","54","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions.csv","75","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions.csv","106","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions.csv","112","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions_1000m.csv","75","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions_1000m.csv","106","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_suggestions_1000m.csv","112","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_unresolved.csv","23","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_unresolved.csv","54","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_unresolved_suggestions.csv","63","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_unresolved_suggestions.csv","94","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\demo\london_6color_demo_rows.csv","8","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\demo\london_6color_demo_rows.csv","9","cost_uk_v1","","","UK","",""
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_use6_london_postgres_50step\PU6_06_TAXONOMY_AND_COLOR_DICTIONARY_TR.csv","5","cost_uk_v1","","","UK","",""
