table_schema,table_name,column_name,data_type
public,parcel_sales_history_candidate_quality_preview,matched_parcel_ref,text
public,parcel_sales_history_candidate_quality_preview,parcel_id,text
public,parcel_sales_history_candidate_quality_preview,postcode,text
public,parcel_sales_history_candidate_staging,parcel_id,text
public,parcel_sales_history_candidate_staging,postcode,text
public,parcel_sales_history_summary,latest_sale_area_m2,numeric
public,parcel_sales_history_summary,latest_sale_date,text
public,parcel_sales_history_summary,latest_sale_price_gbp,numeric
public,parcel_sales_history_summary,latest_sale_price_per_m2_gbp,numeric
public,parcel_sales_history_summary,latest_sale_property_type,text
public,parcel_sales_history_summary,latest_sale_year,integer
public,parcel_sales_history_summary,parcel_id,integer
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_area_m2,numeric
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_date,date
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_price_gbp,numeric
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_price_per_m2_gbp,numeric
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_property_type,text
public,parcel_sales_history_summary_backup_aays35_20260501_033723,latest_sale_year,integer
public,parcel_sales_history_summary_backup_aays35_20260501_033723,parcel_id,integer
public,parcel_sales_history_summary_backup_aays35_20260501_033723,parcel_ref,text
public,parcel_scenario_scores,parcel_id,integer
public,parcel_scenario_scores,parcel_ref,character varying
public,parcel_signal_summary,latest_source_updated_at,timestamp with time zone
public,parcel_signal_summary,parcel_id,integer
public,parcel_verified_sales_history,parcel_id,integer
public,parcel_verified_sales_history,parcel_overlap_score,numeric
public,parcel_verified_sales_history,parcel_ref,text
public,parcel_verified_sales_history,postcode,text
public,parcel_verified_sales_history,title_no,text
public,parcel_verified_sales_history,uprn,text
public,parcel_verified_sales_history_summary,latest_sale_area_m2,numeric
public,parcel_verified_sales_history_summary,latest_sale_date,date
public,parcel_verified_sales_history_summary,latest_sale_price_gbp,numeric
public,parcel_verified_sales_history_summary,latest_sale_price_per_m2_gbp,numeric
public,parcel_verified_sales_history_summary,latest_sale_property_type,text
public,parcel_verified_sales_history_summary,latest_sale_year,integer
public,parcel_verified_sales_history_summary,parcel_id,integer
public,parcel_verified_sales_history_summary,parcel_ref,text
public,parcels,geom,USER-DEFINED
public,parcels,geometry,USER-DEFINED
public,parcels,parcel_id,integer
public,parcels,parcel_ref,character varying
public,parcels,postcode,character varying
public,parcels_inspire,geometry,USER-DEFINED
public,parcels_inspire,parcel_id,integer
public,parcels_inspire,parcel_ref,character varying
public,parcels_inspire,postcode,character varying
public,planned_assets,centroid_lat,double precision
public,planned_assets,centroid_lon,double precision
public,planned_assets,geometry,USER-DEFINED
public,planned_assets,geometry_confidence_score,double precision
public,planned_assets,postcode,character varying
public,planned_assets,title,text
public,sites_brownfield_local_authority,point_geometry,USER-DEFINED
public,sites_brownfield_local_authority,postcode,character varying
public,sites_brownfield_local_authority,site_geometry,USER-DEFINED
public,sites_brownfield_planning_data,point_geometry,USER-DEFINED
public,sites_brownfield_planning_data,postcode,character varying
public,sites_brownfield_planning_data,site_geometry,USER-DEFINED
public,transactions_price_paid,postcode,character varying
tiger,addrfeat,the_geom,USER-DEFINED
tiger,bg,intptlat,character varying
tiger,bg,intptlon,character varying
tiger,bg,the_geom,USER-DEFINED
tiger,county,intptlat,character varying
tiger,county,intptlon,character varying
tiger,county,the_geom,USER-DEFINED
tiger,cousub,intptlat,character varying
tiger,cousub,intptlon,character varying
tiger,cousub,the_geom,USER-DEFINED
tiger,edges,the_geom,USER-DEFINED
tiger,faces,intptlat,character varying
tiger,faces,intptlon,character varying
tiger,faces,the_geom,USER-DEFINED
tiger,loader_lookuptables,single_geom_mode,boolean
tiger,place,intptlat,character varying
tiger,place,intptlon,character varying
tiger,place,the_geom,USER-DEFINED
tiger,state,intptlat,character varying
tiger,state,intptlon,character varying
tiger,state,the_geom,USER-DEFINED
tiger,tabblock,intptlat,character varying
tiger,tabblock,intptlon,character varying
tiger,tabblock,the_geom,USER-DEFINED
tiger,tabblock20,intptlat,character varying
tiger,tabblock20,intptlon,character varying
tiger,tabblock20,the_geom,USER-DEFINED
tiger,tract,intptlat,character varying
tiger,tract,intptlon,character varying
tiger,tract,the_geom,USER-DEFINED
tiger,zcta5,intptlat,character varying
tiger,zcta5,intptlon,character varying
tiger,zcta5,the_geom,USER-DEFINED
