parcel_id,sale_year,sale_date,sale_price_gbp,sale_area_m2,sale_price_per_m2_gbp,property_type,address,postcode,source_file,source_type,source_confidence_score,match_type,matched_inspire_id,matched_parcel_ref
780,2025,2025-05-01,135000.0,,,T,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-staffordshire-borough-council:52164273,52164273
794,2026,2026-01-21,530000.0,,,D,"LITTLE CARFELLIS, ST AUSTELL",PL26 8YQ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:cornwall-council:62467909,62467909
816,2024,2024-06-24,97000.0,,,T,"134, CLAREMOUNT ROAD, HALIFAX",HX3 6JQ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:calderdale-metropolitan-borough-council:24216395,24216395
824,2026,2026-01-23,235000.0,,,S,"27, WESTGATE, HULL",HU12 0NA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-riding-of-yorkshire-council:63537859,63537859
859,2025,2025-09-25,310000.0,,,S,"12, BUCKINGHAM STREET, BUCKINGHAM",MK18 4QY,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:cherwell-district-council:30249041,30249041
889,2026,2026-01-07,240000.0,,,T,"14, HILL CRESCENT, RUGBY",CV23 9NF,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:rugby-borough-council:28146476,28146476
1038,2021,2021-09-10,500000.0,,,O,"GOLDEN BALL, FLAT 5, SCHOOL LANE, PRESTON",PR3 6AA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:wyre-borough-council:56977268,56977268
1121,2026,2026-01-16,410000.0,,,S,"31, BRUNEL WAY, CORSHAM",SN13 8LR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:wiltshire-council:21136872,21136872
1235,2025,2025-03-31,330000.0,,,T,"37, BADER PARK, MELKSHAM",SN12 6UF,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:wiltshire-council:22332836,22332836
1249,2025,2025-03-31,210000.0,,,T,"17, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:west-northamptonshire-council:30737694,30737694
1249,2026,2026-01-30,270000.0,,,S,"26, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:west-northamptonshire-council:30737694,30737694
1337,2025,2025-10-31,192500.0,,,T,"2, SCHOOL ROAD, WITHAM",CM8 3RZ,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:braintree-district-council:58456485,58456485
1338,2025,2025-02-27,687500.0,,,D,"20, GLEN DALE, ROWLAND'S CASTLE",PO9 6EP,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:east-hampshire-district-council:30760207,30760207
1341,2025,2025-09-26,200000.0,,,T,"34, BROOKS ROAD, WELLINGBOROUGH",NN9 6NS,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:north-northamptonshire-council:32743155,32743155
1357,2026,2026-02-13,100000.0,,,F,"24, GREAT HOUSE COURT, EAST GRINSTEAD",RH19 4HE,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:mid-sussex-district-council:44527263,44527263
1471,2025,2025-02-28,1070000.0,,,D,"44A, CHURCH STREET, PETERBOROUGH",PE6 9BN,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:peterborough-city-council:34388716,34388716
1495,2025,2025-04-29,216972.0,,,T,"26, KINGS AVENUE, ASHFORD",TN23 1AT,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:ashford-borough-council:57120055,57120055
1522,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0,inspire_id,england:west-northamptonshire-council:30963196,30963196
