candidate_id,parcel_id,sale_year,sale_date,sale_price_gbp,sale_area_m2,sale_price_per_m2_gbp,property_type,address,postcode,source_file,source_type,source_score
13,england:wiltshire-council:21136872,2026,2026-01-16,410000.0,,,S,"31, BRUNEL WAY, CORSHAM",SN13 8LR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
14,england:dorset-council:51543275,2026,2026-01-27,675000.0,,,S,"TREFILLEN LODGE, WHITEMOOR, WIMBORNE",BH21 7DA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
15,england:north-northamptonshire-council:32743155,2025,2025-09-26,200000.0,,,T,"34, BROOKS ROAD, WELLINGBOROUGH",NN9 6NS,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
16,england:rugby-borough-council:28146476,2026,2026-01-07,240000.0,,,T,"14, HILL CRESCENT, RUGBY",CV23 9NF,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
17,england:cotswold-district-council:25099043,2026,2026-01-30,365000.0,,,T,"3, SOUTH TERRACE, CHELTENHAM",GL54 2LG,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
18,england:dacorum-borough-council:33728465,2025,2025-12-01,80000.0,,,O,"SCOUT BARN, MARIS MEADOW, ST ALBANS",AL3 7FB,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
19,england:east-hampshire-district-council:30760207,2025,2025-02-27,687500.0,,,D,"20, GLEN DALE, ROWLAND'S CASTLE",PO9 6EP,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
20,england:east-riding-of-yorkshire-council:50993080,2014,2014-01-30,145000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
21,england:east-riding-of-yorkshire-council:50993080,2007,2007-12-14,180000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
22,england:east-riding-of-yorkshire-council:63537859,2026,2026-01-23,235000.0,,,S,"27, WESTGATE, HULL",HU12 0NA,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
23,england:east-riding-of-yorkshire-council:34558064,2026,2026-02-06,157500.0,,,S,"13, LEONARD CLOSE, HULL",HU12 8AH,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
24,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,T,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
25,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,O,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
26,england:mid-sussex-district-council:44527263,2026,2026-02-13,100000.0,,,F,"24, GREAT HOUSE COURT, EAST GRINSTEAD",RH19 4HE,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
27,england:preston-city-council:19256857,2023,2023-02-01,15000.0,,,F,"JUBILEE COURT, UNIT 62A, FYLDE ROAD, PRESTON",PR1 2XP,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
28,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
29,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
30,england:west-northamptonshire-council:30737694,2026,2026-01-30,270000.0,,,S,"26, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
31,england:west-northamptonshire-council:30737694,2025,2025-03-31,210000.0,,,T,"17, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\6 color parcells\archive_from_c_tmp\aays_tmp_20260430_112249\sold_buildings_autotest\incoming\external_sales_collected.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
32,england:mid-sussex-district-council:44527263,2026,2026-02-13,100000.0,,,F,"24, GREAT HOUSE COURT, EAST GRINSTEAD",RH19 4HE,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
33,england:east-riding-of-yorkshire-council:34558064,2026,2026-02-06,157500.0,,,S,"13, LEONARD CLOSE, HULL",HU12 8AH,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
34,england:north-west-leicestershire-district-council:27404656,2026,2026-01-30,240000.0,,,T,"THE COTTAGES, 4, CHAPEL STREET, ASHBY-DE-LA-ZOUCH",LE65 2TJ,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
35,england:cotswold-district-council:25099043,2026,2026-01-30,365000.0,,,T,"3, SOUTH TERRACE, CHELTENHAM",GL54 2LG,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
36,england:west-northamptonshire-council:30737694,2026,2026-01-30,270000.0,,,S,"26, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
37,england:dorset-council:51543275,2026,2026-01-27,675000.0,,,S,"TREFILLEN LODGE, WHITEMOOR, WIMBORNE",BH21 7DA,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
38,england:east-riding-of-yorkshire-council:63537859,2026,2026-01-23,235000.0,,,S,"27, WESTGATE, HULL",HU12 0NA,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
39,england:cornwall-council:62467909,2026,2026-01-21,530000.0,,,D,"LITTLE CARFELLIS, ST AUSTELL",PL26 8YQ,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
40,england:wiltshire-council:21136872,2026,2026-01-16,410000.0,,,S,"31, BRUNEL WAY, CORSHAM",SN13 8LR,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
41,england:rugby-borough-council:28146476,2026,2026-01-07,240000.0,,,T,"14, HILL CRESCENT, RUGBY",CV23 9NF,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
42,england:dacorum-borough-council:33728465,2025,2025-12-01,80000.0,,,O,"SCOUT BARN, MARIS MEADOW, ST ALBANS",AL3 7FB,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
43,england:braintree-district-council:58456485,2025,2025-10-31,192500.0,,,T,"2, SCHOOL ROAD, WITHAM",CM8 3RZ,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
44,england:north-northamptonshire-council:32743155,2025,2025-09-26,200000.0,,,T,"34, BROOKS ROAD, WELLINGBOROUGH",NN9 6NS,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
45,england:blackburn-with-darwen-borough-council:57601265,2025,2025-09-26,160000.0,,,T,"1610, SCANT ROW, BOLTON",BL6 6PZ,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
46,england:cherwell-district-council:30249041,2025,2025-09-25,310000.0,,,S,"12, BUCKINGHAM STREET, BUCKINGHAM",MK18 4QY,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
47,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
48,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
49,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
50,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
51,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,T,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
52,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,O,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
53,england:ashford-borough-council:57120055,2025,2025-04-29,216972.0,,,T,"26, KINGS AVENUE, ASHFORD",TN23 1AT,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
54,england:wiltshire-council:22332836,2025,2025-03-31,330000.0,,,T,"37, BADER PARK, MELKSHAM",SN12 6UF,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
55,england:west-northamptonshire-council:30737694,2025,2025-03-31,210000.0,,,T,"17, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
56,england:peterborough-city-council:34388716,2025,2025-02-28,1070000.0,,,D,"44A, CHURCH STREET, PETERBOROUGH",PE6 9BN,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
57,england:east-hampshire-district-council:30760207,2025,2025-02-27,687500.0,,,D,"20, GLEN DALE, ROWLAND'S CASTLE",PO9 6EP,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
58,england:calderdale-metropolitan-borough-council:24216395,2024,2024-06-24,97000.0,,,T,"134, CLAREMOUNT ROAD, HALIFAX",HX3 6JQ,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
59,england:preston-city-council:19256857,2023,2023-02-01,15000.0,,,F,"JUBILEE COURT, UNIT 62A, FYLDE ROAD, PRESTON",PR1 2XP,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
60,england:wyre-borough-council:56977268,2021,2021-09-10,500000.0,,,O,"GOLDEN BALL, FLAT 5, SCHOOL LANE, PRESTON",PR3 6AA,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
61,england:east-riding-of-yorkshire-council:50993080,2014,2014-01-30,145000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
62,england:east-riding-of-yorkshire-council:50993080,2007,2007-12-14,180000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\sold_buildings\processed\external_sales_collected_20260429T195438Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
63,england:wyre-borough-council:56977268,2021,2021-09-10,500000.0,,,O,"GOLDEN BALL, FLAT 5, SCHOOL LANE, PRESTON",PR3 6AA,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
64,england:ashford-borough-council:57120055,2025,2025-04-29,216972.0,,,T,"26, KINGS AVENUE, ASHFORD",TN23 1AT,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
65,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
66,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
67,england:blackburn-with-darwen-borough-council:57601265,2025,2025-09-26,160000.0,,,T,"1610, SCANT ROW, BOLTON",BL6 6PZ,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
68,england:braintree-district-council:58456485,2025,2025-10-31,192500.0,,,T,"2, SCHOOL ROAD, WITHAM",CM8 3RZ,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
69,england:calderdale-metropolitan-borough-council:24216395,2024,2024-06-24,97000.0,,,T,"134, CLAREMOUNT ROAD, HALIFAX",HX3 6JQ,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
70,england:cherwell-district-council:30249041,2025,2025-09-25,310000.0,,,S,"12, BUCKINGHAM STREET, BUCKINGHAM",MK18 4QY,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
71,england:cornwall-council:62467909,2026,2026-01-21,530000.0,,,D,"LITTLE CARFELLIS, ST AUSTELL",PL26 8YQ,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
72,england:north-west-leicestershire-district-council:27404656,2026,2026-01-30,240000.0,,,T,"THE COTTAGES, 4, CHAPEL STREET, ASHBY-DE-LA-ZOUCH",LE65 2TJ,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
73,england:peterborough-city-council:34388716,2025,2025-02-28,1070000.0,,,D,"44A, CHURCH STREET, PETERBOROUGH",PE6 9BN,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
74,england:wiltshire-council:22332836,2025,2025-03-31,330000.0,,,T,"37, BADER PARK, MELKSHAM",SN12 6UF,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
75,england:wiltshire-council:21136872,2026,2026-01-16,410000.0,,,S,"31, BRUNEL WAY, CORSHAM",SN13 8LR,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
76,england:dorset-council:51543275,2026,2026-01-27,675000.0,,,S,"TREFILLEN LODGE, WHITEMOOR, WIMBORNE",BH21 7DA,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
77,england:north-northamptonshire-council:32743155,2025,2025-09-26,200000.0,,,T,"34, BROOKS ROAD, WELLINGBOROUGH",NN9 6NS,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
78,england:rugby-borough-council:28146476,2026,2026-01-07,240000.0,,,T,"14, HILL CRESCENT, RUGBY",CV23 9NF,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
79,england:cotswold-district-council:25099043,2026,2026-01-30,365000.0,,,T,"3, SOUTH TERRACE, CHELTENHAM",GL54 2LG,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
80,england:dacorum-borough-council:33728465,2025,2025-12-01,80000.0,,,O,"SCOUT BARN, MARIS MEADOW, ST ALBANS",AL3 7FB,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
81,england:east-hampshire-district-council:30760207,2025,2025-02-27,687500.0,,,D,"20, GLEN DALE, ROWLAND'S CASTLE",PO9 6EP,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
82,england:east-riding-of-yorkshire-council:50993080,2014,2014-01-30,145000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
83,england:east-riding-of-yorkshire-council:50993080,2007,2007-12-14,180000.0,,,T,"183A, QUEEN STREET, WITHERNSEA",HU19 2JR,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
84,england:east-riding-of-yorkshire-council:63537859,2026,2026-01-23,235000.0,,,S,"27, WESTGATE, HULL",HU12 0NA,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
85,england:east-riding-of-yorkshire-council:34558064,2026,2026-02-06,157500.0,,,S,"13, LEONARD CLOSE, HULL",HU12 8AH,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
86,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,T,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
87,england:east-staffordshire-borough-council:52164273,2025,2025-05-01,135000.0,,,O,"40, HIGH STREET, UTTOXETER",ST14 5JU,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
88,england:mid-sussex-district-council:44527263,2026,2026-02-13,100000.0,,,F,"24, GREAT HOUSE COURT, EAST GRINSTEAD",RH19 4HE,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
89,england:preston-city-council:19256857,2023,2023-02-01,15000.0,,,F,"JUBILEE COURT, UNIT 62A, FYLDE ROAD, PRESTON",PR1 2XP,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
90,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
91,england:west-northamptonshire-council:30963196,2025,2025-06-05,105000.0,,,S,"2, BIRKDALE CLOSE, NORTHAMPTON",NN2 7PD,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
92,england:west-northamptonshire-council:30737694,2026,2026-01-30,270000.0,,,S,"26, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
93,england:west-northamptonshire-council:30737694,2025,2025-03-31,210000.0,,,T,"17, ST DUNSTANS RISE, NORTHAMPTON",NN4 9XL,D:\sold_buildings\processed\external_sales_collected_20260429T202206Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
94,england:wyre-borough-council:56977268,2021,2021-09-10,500000.0,,,O,"GOLDEN BALL, FLAT 5, SCHOOL LANE, PRESTON",PR3 6AA,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
95,england:ashford-borough-council:57120055,2025,2025-04-29,216972.0,,,T,"26, KINGS AVENUE, ASHFORD",TN23 1AT,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
96,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
97,england:birmingham-city-council:57224151,2025,2025-07-24,115000.0,,,D,"53, WHARTON STREET INDUSTRIAL ESTATE, BIRMINGHAM",B7 5TR,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
98,england:blackburn-with-darwen-borough-council:57601265,2025,2025-09-26,160000.0,,,T,"1610, SCANT ROW, BOLTON",BL6 6PZ,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
99,england:braintree-district-council:58456485,2025,2025-10-31,192500.0,,,T,"2, SCHOOL ROAD, WITHAM",CM8 3RZ,D:\sold_buildings\processed\external_sales_collected_20260429T202709Z.csv,TRANSACTION_HISTORY_CANDIDATE,100.0
